iter	Passed	Remaining
474	632	699
475	634	698
476	635	696
477	636	694
478	636	692
479	637	690
480	638	689
481	639	687
482	640	685
483	641	683
484	641	681
485	642	679
486	643	677
487	644	675
488	644	673
489	645	671
490	646	670
491	648	669
492	649	667
493	650	666
494	651	664
495	651	662
496	652	660
497	653	658
498	654	656
499	654	654
500	655	652
501	656	651
502	657	649
503	657	647
504	658	645
505	659	643
506	660	642
507	661	640
508	662	638
509	663	637
510	664	635
511	665	634
512	666	632
513	666	630
514	667	628
515	668	627
516	669	625
517	670	623
518	670	621
519	671	620
520	672	618
521	673	616
522	674	614
523	674	613
524	675	611
525	676	609
526	678	608
527	679	607
528	680	605
529	681	604
530	682	602
531	682	600
532	683	599
533	684	597
534	685	595
535	686	594
536	686	592
537	687	590
538	688	588
539	689	587
540	690	585
541	691	583
542	692	582
543	694	581
544	695	580
545	696	578
546	697	577
547	698	575
548	699	574
549	700	572
550	701	571
551	702	570
552	703	568
553	704	567
554	705	565
555	706	564
556	707	563
557	708	561
558	709	559
559	710	558
560	711	556
561	712	554
562	712	553
563	713	551
564	714	550
565	715	548
566	716	546
567	716	545
568	717	543
569	718	542
570	719	540
571	720	539
572	721	537
573	722	536
574	724	535
575	725	533
576	726	532
577	726	530
578	727	529
579	728	527
580	729	526
581	730	524
582	731	522
583	732	521
584	732	519
585	733	518
586	734	516
587	735	515
588	736	513
589	737	512
590	738	511
591	739	509
592	740	508
593	741	506
594	742	505
595	743	503
596	744	502
597	744	500
598	745	499
599	746	497
600	747	496
601	748	494
602	748	493
603	749	491
604	750	490
605	751	488
606	752	487
607	753	486
608	754	484
609	755	483
610	756	481
611	757	479
612	757	478
613	758	476
614	759	475
615	760	473
616	760	472
617	761	470
618	762	469
619	763	467
620	764	466
621	764	464
622	765	463
623	766	461
624	767	460
625	769	459
626	770	458
627	771	456
628	772	455
629	772	453
630	773	452
631	774	450
632	775	449
633	776	448
634	776	446
635	777	445
636	778	443
637	779	442
638	779	440
639	780	439
640	781	437
641	782	436
642	783	435
643	785	434
644	786	432
645	786	431
646	787	429
647	788	428
648	789	426
649	790	425
650	791	424
651	791	422
652	792	421
653	793	419
654	794	418
655	794	416
656	795	415
657	796	414
658	797	412
659	798	411
660	799	410
661	800	408
662	801	407
663	802	405
664	803	404
665	803	403
666	804	401
667	805	400
668	806	398
669	806	397
670	807	395
671	808	394
672	809	393
673	810	391
674	810	390
675	811	389
676	812	387
677	813	386
678	815	385
679	816	384
680	817	382
681	818	381
682	818	380
683	819	378
684	820	377
685	821	375
686	821	374
687	822	373
688	823	371
689	824	370
690	825	368
691	826	367
692	826	366
693	827	365
694	829	363
695	830	362
696	831	361
697	832	360
698	832	358
699	833	357
700	834	355
701	835	354
702	835	353
703	836	351
704	837	350
705	838	349
706	839	347
707	839	346
708	840	345
709	841	343
710	842	342
711	843	341
712	844	339
713	845	338
714	846	337
715	847	336
716	848	334
717	849	333
718	850	332
719	851	330
720	851	329
721	852	328
722	853	327
723	854	325
724	855	324
725	856	323
726	857	321
727	858	320
728	859	319
729	861	318
730	862	317
731	863	316
732	863	314
733	864	313
734	865	312
735	866	310
736	867	309
737	867	308
738	868	306
739	869	305
740	870	304
741	870	302
742	871	301
743	872	300
744	873	299
745	875	298
746	876	296
747	877	295
748	878	294
749	879	293
750	879	291
751	880	290
752	881	289
753	882	287
754	883	286
755	883	285
756	884	283
757	885	282
758	886	281
759	887	280
760	887	278
761	888	277
762	891	276
763	892	275
764	892	274
765	893	273
766	894	271
767	895	270
768	896	269
769	897	268
770	898	266
771	898	265
772	899	264
773	900	262
774	901	261
775	902	260
776	902	259
777	903	257
778	905	256
779	906	255
780	907	254
781	908	253
782	909	251
783	910	250
784	910	249
785	911	248
786	912	246
787	913	245
788	914	244
789	914	243
790	915	241
791	916	240
792	917	239
793	918	238
794	919	237
795	920	235
796	921	234
797	922	233
798	923	232
799	924	231
800	925	229
801	925	228
802	926	227
803	927	226
804	928	224
805	929	223
806	929	222
807	930	221
808	931	219
809	932	218
810	933	217
811	934	216
812	936	215
813	937	214
814	938	212
815	939	211
816	940	210
817	940	209
818	941	208
819	942	206
820	943	205
821	944	204
822	945	203
823	946	202
824	947	200
825	948	199
826	949	198
827	950	197
828	951	196
829	952	195
830	953	193
831	954	192
832	955	191
833	956	190
834	957	189
835	958	187
836	959	186
837	959	185
838	960	184
839	961	183
840	962	181
841	963	180
842	964	179
843	965	178
844	966	177
845	967	176
846	968	174
847	968	173
848	969	172
849	970	171
850	971	170
851	972	168
852	972	167
853	973	166
854	974	165
855	975	164
856	976	162
857	977	161
858	977	160
859	978	159
860	979	158
861	980	156
862	982	155
863	983	154
864	983	153
865	984	152
866	985	151
867	986	150
868	987	148
869	988	147
870	989	146
871	990	145
872	991	144
873	992	143
874	992	141
875	993	140
876	994	139
877	995	138
878	997	137
879	998	136
880	999	135
881	1000	133
882	1001	132
883	1001	131
884	1002	130
885	1003	129
886	1004	127
887	1005	126
888	1006	125
889	1006	124
890	1007	123
891	1008	122
892	1009	120
893	1010	119
894	1012	118
895	1013	117
896	1014	116
897	1014	115
898	1015	114
899	1016	112
900	1017	111
901	1018	110
902	1018	109
903	1019	108
904	1020	107
905	1021	105
906	1022	104
907	1022	103
908	1023	102
909	1024	101
910	1025	100
911	1027	99
912	1028	97
913	1028	96
914	1029	95
915	1030	94
916	1031	93
917	1032	92
918	1032	91
919	1033	89
920	1034	88
921	1035	87
922	1036	86
923	1037	85
924	1037	84
925	1038	83
926	1039	81
927	1040	80
928	1041	79
929	1042	78
930	1043	77
931	1044	76
932	1045	75
933	1046	73
934	1047	72
935	1047	71
936	1048	70
937	1049	69
938	1050	68
939	1051	67
940	1051	65
941	1052	64
942	1053	63
943	1054	62
944	1055	61
945	1056	60
946	1057	59
947	1058	58
948	1059	56
949	1060	55
950	1060	54
951	1061	53
952	1062	52
953	1063	51
954	1063	50
955	1064	49
956	1065	47
957	1066	46
958	1067	45
959	1067	44
960	1068	43
961	1069	42
962	1070	41
963	1072	40
964	1073	38
965	1074	37
966	1075	36
967	1075	35
968	1076	34
969	1077	33
970	1078	32
971	1079	31
972	1080	29
973	1080	28
974	1081	27
975	1082	26
976	1083	25
977	1084	24
978	1086	23
979	1088	22
980	1089	21
981	1090	19
982	1091	18
983	1092	17
984	1093	16
985	1094	15
986	1094	14
987	1095	13
988	1096	12
989	1097	11
990	1098	9
991	1099	8
992	1100	7
993	1101	6
994	1102	5
995	1103	4
996	1104	3
997	1104	2
998	1105	1
999	1106	0
